Age,Workclass,Education,Occupation,Marital Status,Relationship,Race,Sex,Native Country,Salary
*,*,HS-grad,Technical,*,Married,*,*,*,36
*,*,Masters,Nontechnical,*,Unmarried,*,*,*,43
*,*,Assoc-voc,Technical,*,Married,*,*,*,40
*,*,Assoc-voc,Technical,*,Unmarried,*,*,*,48
*,*,Some-college,Nontechnical,*,Married,*,*,*,34
*,*,HS-grad,Other,*,Unmarried,*,*,*,45
*,*,Prof-school,Technical,*,Married,*,*,*,69
*,*,Bachelors,Nontechnical,*,Unmarried,*,*,*,73
*,*,HS-grad,Nontechnical,*,Unmarried,*,*,*,29
*,*,Some-college,Technical,*,Married,*,*,*,55
*,*,5th-6th,Technical,*,Married,*,*,*,48
*,*,Assoc-voc,Other,*,Married,*,*,*,30
*,*,HS-grad,Other,*,Married,*,*,*,41
*,*,HS-grad,Technical,*,Married,*,*,*,46
*,*,Bachelors,Nontechnical,*,Married,*,*,*,48
*,*,7th-8th,*,*,Unmarried,*,*,*,43
*,*,HS-grad,Other,*,Married,*,*,*,34
*,*,Doctorate,Technical,*,Married,*,*,*,63
*,*,Some-college,Technical,*,Unmarried,*,*,*,44
*,*,HS-grad,Technical,*,Married,*,*,*,46
*,*,Some-college,Other,*,Unmarried,*,*,*,38
*,*,HS-grad,Other,*,Married,*,*,*,74
*,*,Some-college,Nontechnical,*,Married,*,*,*,72
*,*,Some-college,*,*,Unmarried,*,*,*,38
*,*,Some-college,Technical,*,Unmarried,*,*,*,49
*,*,Bachelors,Nontechnical,*,Unmarried,*,*,*,33
*,*,Bachelors,Nontechnical,*,Married,*,*,*,54
*,*,Some-college,Technical,*,Unmarried,*,*,*,43
*,*,Some-college,Technical,*,Unmarried,*,*,*,45
*,*,HS-grad,Other,*,Unmarried,*,*,*,40
*,*,Assoc-acdm,Other,*,Married,*,*,*,48
*,*,10th,*,*,Married,*,*,*,30
*,*,11th,Other,*,Unmarried,*,*,*,35
*,*,7th-8th,Other,*,Married,*,*,*,34
*,*,HS-grad,Nontechnical,*,Unmarried,*,*,*,49
*,*,Bachelors,Other,*,Married,*,*,*,30
*,*,HS-grad,Other,*,Married,*,*,*,39
*,*,HS-grad,Nontechnical,*,Married,*,*,*,33
*,*,HS-grad,Technical,*,Unmarried,*,*,*,51
*,*,HS-grad,Nontechnical,*,Unmarried,*,*,*,37
*,*,HS-grad,Other,*,Married,*,*,*,56
*,*,Masters,Technical,*,Married,*,*,*,49
*,*,9th,Nontechnical,*,Unmarried,*,*,*,33
*,*,Doctorate,Technical,*,Unmarried,*,*,*,52
*,*,Assoc-voc,Technical,*,Married,*,*,*,49
*,*,Some-college,Technical,*,Unmarried,*,*,*,49
*,*,Some-college,Technical,*,Unmarried,*,*,*,35
*,*,HS-grad,Nontechnical,*,Married,*,*,*,34
*,*,Bachelors,Other,*,Married,*,*,*,50
*,*,Some-college,Nontechnical,*,Unmarried,*,*,*,49
*,*,Doctorate,Technical,*,Married,*,*,*,62
*,*,Some-college,Nontechnical,*,Married,*,*,*,53
*,*,Assoc-acdm,Nontechnical,*,Unmarried,*,*,*,32
*,*,HS-grad,Other,*,Unmarried,*,*,*,48
*,*,Masters,Nontechnical,*,Married,*,*,*,100
*,*,Bachelors,Nontechnical,*,Married,*,*,*,106
*,*,Masters,Technical,*,Unmarried,*,*,*,46
*,*,Some-college,Technical,*,Unmarried,*,*,*,38
*,*,HS-grad,Technical,*,Unmarried,*,*,*,34
*,*,HS-grad,Technical,*,Married,*,*,*,51
*,*,10th,*,*,Unmarried,*,*,*,37
*,*,11th,Nontechnical,*,Unmarried,*,*,*,44
*,*,HS-grad,Other,*,Unmarried,*,*,*,42
*,*,HS-grad,Nontechnical,*,Married,*,*,*,41
*,*,Bachelors,Nontechnical,*,Unmarried,*,*,*,33
*,*,Prof-school,Technical,*,Married,*,*,*,58
*,*,HS-grad,Other,*,Married,*,*,*,64
*,*,Some-college,Nontechnical,*,Married,*,*,*,43
*,*,HS-grad,Technical,*,Unmarried,*,*,*,46
*,*,9th,Nontechnical,*,Married,*,*,*,42
*,*,Some-college,Nontechnical,*,Married,*,*,*,38
*,*,Assoc-voc,Technical,*,Married,*,*,*,50
*,*,Some-college,Nontechnical,*,Married,*,*,*,41
*,*,HS-grad,Technical,*,Unmarried,*,*,*,47
*,*,Some-college,Other,*,Unmarried,*,*,*,34
*,*,Bachelors,Nontechnical,*,Married,*,*,*,36
*,*,Bachelors,Nontechnical,*,Unmarried,*,*,*,32
*,*,Bachelors,Technical,*,Married,*,*,*,93
*,*,Some-college,Other,*,Unmarried,*,*,*,35
*,*,Bachelors,Nontechnical,*,Married,*,*,*,61
*,*,Some-college,Other,*,Unmarried,*,*,*,46
*,*,Assoc-acdm,Other,*,Married,*,*,*,93
*,*,HS-grad,*,*,Married,*,*,*,42
*,*,Some-college,Technical,*,Unmarried,*,*,*,35
*,*,Assoc-acdm,Nontechnical,*,Unmarried,*,*,*,45
*,*,HS-grad,Other,*,Unmarried,*,*,*,26
*,*,HS-grad,Technical,*,Married,*,*,*,35
*,*,Bachelors,Nontechnical,*,Married,*,*,*,45
*,*,Assoc-acdm,Technical,*,Unmarried,*,*,*,49
*,*,Masters,Technical,*,Married,*,*,*,60
*,*,HS-grad,Technical,*,Married,*,*,*,45
*,*,Assoc-voc,Other,*,Married,*,*,*,48
*,*,Some-college,Nontechnical,*,Unmarried,*,*,*,48
*,*,Some-college,Technical,*,Married,*,*,*,51
*,*,HS-grad,Technical,*,Married,*,*,*,39
*,*,Some-college,Nontechnical,*,Unmarried,*,*,*,44
*,*,Some-college,Other,*,Unmarried,*,*,*,45
*,*,Assoc-voc,Technical,*,Unmarried,*,*,*,80
*,*,Some-college,Technical,*,Unmarried,*,*,*,38
*,*,HS-grad,Other,*,Unmarried,*,*,*,34
*,*,Some-college,Other,*,Married,*,*,*,45
*,*,HS-grad,Other,*,Unmarried,*,*,*,33
*,*,11th,Technical,*,Married,*,*,*,44
*,*,Some-college,*,*,Unmarried,*,*,*,45
*,*,Some-college,Other,*,Unmarried,*,*,*,43
*,*,HS-grad,Other,*,Unmarried,*,*,*,41
*,*,Bachelors,Nontechnical,*,Unmarried,*,*,*,46
*,*,HS-grad,Technical,*,Unmarried,*,*,*,38
*,*,HS-grad,*,*,Unmarried,*,*,*,71
*,*,HS-grad,Technical,*,Married,*,*,*,47
*,*,Bachelors,Nontechnical,*,Unmarried,*,*,*,42
*,*,Some-college,Nontechnical,*,Unmarried,*,*,*,33
*,*,HS-grad,Technical,*,Unmarried,*,*,*,48
*,*,Bachelors,Other,*,Unmarried,*,*,*,44
*,*,1st-4th,*,*,Unmarried,*,*,*,35
*,*,HS-grad,Other,*,Unmarried,*,*,*,26
*,*,Masters,Nontechnical,*,Unmarried,*,*,*,40
*,*,HS-grad,Nontechnical,*,Unmarried,*,*,*,36
*,*,Masters,Nontechnical,*,Married,*,*,*,52
*,*,Some-college,Other,*,Unmarried,*,*,*,41
*,*,Assoc-acdm,Nontechnical,*,Unmarried,*,*,*,47
*,*,Masters,Other,*,Unmarried,*,*,*,43
*,*,11th,Nontechnical,*,Unmarried,*,*,*,40
*,*,Assoc-voc,Technical,*,Unmarried,*,*,*,47
*,*,HS-grad,Other,*,Unmarried,*,*,*,35
*,*,HS-grad,Other,*,Married,*,*,*,46
*,*,Some-college,Nontechnical,*,Married,*,*,*,54
*,*,Bachelors,Technical,*,Unmarried,*,*,*,40
*,*,Bachelors,Technical,*,Married,*,*,*,63
*,*,HS-grad,Nontechnical,*,Unmarried,*,*,*,42
*,*,HS-grad,Technical,*,Unmarried,*,*,*,35
*,*,HS-grad,Nontechnical,*,Unmarried,*,*,*,47
*,*,HS-grad,Other,*,Unmarried,*,*,*,27
*,*,Bachelors,Technical,*,Married,*,*,*,45
*,*,Some-college,Nontechnical,*,Married,*,*,*,80
*,*,Some-college,Other,*,Unmarried,*,*,*,44
*,*,Some-college,Technical,*,Unmarried,*,*,*,37
*,*,7th-8th,Technical,*,Married,*,*,*,52
*,*,Some-college,Other,*,Married,*,*,*,63
*,*,HS-grad,Other,*,Married,*,*,*,36
*,*,Bachelors,Nontechnical,*,Unmarried,*,*,*,47
*,*,Bachelors,*,*,Unmarried,*,*,*,48
*,*,Masters,Technical,*,Married,*,*,*,47
*,*,Doctorate,Technical,*,Married,*,*,*,71
*,*,Some-college,Technical,*,Unmarried,*,*,*,42
*,*,Some-college,Technical,*,Married,*,*,*,47
*,*,Bachelors,Technical,*,Married,*,*,*,42
*,*,Some-college,Technical,*,Married,*,*,*,45
*,*,Bachelors,Technical,*,Married,*,*,*,42
*,*,5th-6th,Other,*,Unmarried,*,*,*,44
*,*,Some-college,Technical,*,Unmarried,*,*,*,40
*,*,Masters,Nontechnical,*,Unmarried,*,*,*,52
*,*,Masters,Technical,*,Unmarried,*,*,*,51
*,*,HS-grad,Nontechnical,*,Unmarried,*,*,*,33
*,*,Masters,Technical,*,Unmarried,*,*,*,46
*,*,HS-grad,*,*,Unmarried,*,*,*,43
*,*,Bachelors,Nontechnical,*,Married,*,*,*,87
*,*,Some-college,Technical,*,Unmarried,*,*,*,45
*,*,HS-grad,Other,*,Unmarried,*,*,*,36
*,*,11th,Nontechnical,*,Unmarried,*,*,*,48
*,*,Bachelors,Other,*,Married,*,*,*,58
*,*,HS-grad,Technical,*,Unmarried,*,*,*,48
*,*,HS-grad,Nontechnical,*,Married,*,*,*,52
*,*,11th,Nontechnical,*,Unmarried,*,*,*,40
*,*,HS-grad,Other,*,Married,*,*,*,38
*,*,HS-grad,Technical,*,Married,*,*,*,52
*,*,Some-college,Nontechnical,*,Unmarried,*,*,*,48
*,*,HS-grad,Technical,*,Married,*,*,*,38
*,*,7th-8th,Technical,*,Married,*,*,*,50
*,*,Bachelors,Nontechnical,*,Unmarried,*,*,*,101
*,*,Assoc-acdm,Nontechnical,*,Unmarried,*,*,*,47
*,*,Bachelors,Nontechnical,*,Married,*,*,*,33
*,*,Bachelors,Technical,*,Married,*,*,*,47
*,*,10th,Technical,*,Unmarried,*,*,*,44
*,*,Some-college,Nontechnical,*,Married,*,*,*,43
*,*,1st-4th,*,*,Unmarried,*,*,*,45
*,*,HS-grad,Other,*,Unmarried,*,*,*,40
*,*,HS-grad,Other,*,Married,*,*,*,41
*,*,Preschool,Technical,*,Unmarried,*,*,*,38
*,*,HS-grad,Nontechnical,*,Unmarried,*,*,*,36
*,*,10th,*,*,Unmarried,*,*,*,26
*,*,HS-grad,Other,*,Married,*,*,*,33
*,*,Assoc-voc,Other,*,Unmarried,*,*,*,40
*,*,HS-grad,Other,*,Unmarried,*,*,*,47
*,*,11th,Other,*,Unmarried,*,*,*,33
*,*,HS-grad,Nontechnical,*,Unmarried,*,*,*,47
*,*,Some-college,Other,*,Unmarried,*,*,*,39
*,*,Some-college,Technical,*,Unmarried,*,*,*,44
*,*,Prof-school,Technical,*,Unmarried,*,*,*,55
*,*,HS-grad,Other,*,Married,*,*,*,31
*,*,Some-college,Other,*,Unmarried,*,*,*,36
*,*,Bachelors,Nontechnical,*,Married,*,*,*,99
*,*,Masters,Nontechnical,*,Married,*,*,*,98
*,*,HS-grad,Other,*,Unmarried,*,*,*,42
*,*,Bachelors,Technical,*,Married,*,*,*,53
*,*,HS-grad,Other,*,Married,*,*,*,32
*,*,Assoc-acdm,Other,*,Married,*,*,*,35
*,*,Some-college,*,*,Unmarried,*,*,*,47
*,*,Some-college,Technical,*,Unmarried,*,*,*,37
*,*,HS-grad,Other,*,Married,*,*,*,35
*,*,HS-grad,Other,*,Married,*,*,*,80
*,*,HS-grad,Other,*,Unmarried,*,*,*,39
*,*,Assoc-acdm,Technical,*,Married,*,*,*,55
*,*,HS-grad,Other,*,Married,*,*,*,38
*,*,Prof-school,Technical,*,Married,*,*,*,51
*,*,Bachelors,Other,*,Married,*,*,*,39
*,*,10th,Other,*,Unmarried,*,*,*,34
*,*,Some-college,Other,*,Unmarried,*,*,*,43
*,*,Some-college,Other,*,Unmarried,*,*,*,37
*,*,HS-grad,Other,*,Married,*,*,*,46
*,*,HS-grad,Other,*,Unmarried,*,*,*,31
*,*,HS-grad,Other,*,Unmarried,*,*,*,29
*,*,Assoc-voc,Nontechnical,*,Unmarried,*,*,*,29
*,*,7th-8th,Technical,*,Unmarried,*,*,*,45
*,*,Bachelors,Technical,*,Unmarried,*,*,*,46
*,*,HS-grad,Nontechnical,*,Married,*,*,*,40
*,*,11th,Other,*,Unmarried,*,*,*,47
*,*,Some-college,Nontechnical,*,Married,*,*,*,37
*,*,11th,Technical,*,Married,*,*,*,34
*,*,Some-college,Nontechnical,*,Married,*,*,*,81
*,*,Some-college,*,*,Unmarried,*,*,*,27
*,*,HS-grad,Nontechnical,*,Married,*,*,*,61
*,*,Bachelors,Technical,*,Unmarried,*,*,*,48
*,*,HS-grad,Technical,*,Married,*,*,*,52
*,*,HS-grad,Nontechnical,*,Married,*,*,*,61
*,*,9th,Other,*,Unmarried,*,*,*,40
*,*,Masters,Other,*,Married,*,*,*,45
*,*,Masters,Technical,*,Unmarried,*,*,*,48
*,*,HS-grad,Technical,*,Unmarried,*,*,*,46
*,*,HS-grad,Nontechnical,*,Married,*,*,*,37
*,*,Some-college,Technical,*,Married,*,*,*,51
*,*,Some-college,Nontechnical,*,Unmarried,*,*,*,36
*,*,Some-college,Technical,*,Unmarried,*,*,*,36
*,*,Some-college,Technical,*,Married,*,*,*,52
*,*,Bachelors,Technical,*,Unmarried,*,*,*,49
*,*,Some-college,Technical,*,Married,*,*,*,52
*,*,Assoc-acdm,Nontechnical,*,Unmarried,*,*,*,45
*,*,Bachelors,Technical,*,Unmarried,*,*,*,46
*,*,HS-grad,Nontechnical,*,Unmarried,*,*,*,37
*,*,Masters,Nontechnical,*,Married,*,*,*,51
*,*,Prof-school,Technical,*,Married,*,*,*,65
*,*,Some-college,Other,*,Unmarried,*,*,*,31
*,*,Bachelors,Nontechnical,*,Unmarried,*,*,*,29
*,*,7th-8th,Technical,*,Married,*,*,*,38
*,*,Bachelors,Technical,*,Married,*,*,*,49
*,*,HS-grad,Technical,*,Unmarried,*,*,*,47
*,*,Bachelors,Other,*,Unmarried,*,*,*,42
*,*,Some-college,Nontechnical,*,Unmarried,*,*,*,34
*,*,Bachelors,Technical,*,Unmarried,*,*,*,35
*,*,HS-grad,Other,*,Married,*,*,*,37
*,*,Bachelors,Nontechnical,*,Unmarried,*,*,*,37
*,*,Masters,*,*,Married,*,*,*,36
*,*,HS-grad,Technical,*,Unmarried,*,*,*,47
*,*,HS-grad,Nontechnical,*,Unmarried,*,*,*,44
*,*,Bachelors,Other,*,Married,*,*,*,98
*,*,Some-college,Other,*,Unmarried,*,*,*,25
*,*,HS-grad,Other,*,Married,*,*,*,48
*,*,HS-grad,Nontechnical,*,Married,*,*,*,53
*,*,Some-college,Other,*,Married,*,*,*,37
*,*,HS-grad,Other,*,Unmarried,*,*,*,45
*,*,Assoc-acdm,Technical,*,Unmarried,*,*,*,46
*,*,Assoc-acdm,Technical,*,Unmarried,*,*,*,47
*,*,Assoc-acdm,Other,*,Married,*,*,*,101
*,*,Some-college,Other,*,Married,*,*,*,48
*,*,Bachelors,Nontechnical,*,Unmarried,*,*,*,40
*,*,Masters,Nontechnical,*,Married,*,*,*,105
*,*,Some-college,*,*,Unmarried,*,*,*,27
*,*,Bachelors,Technical,*,Unmarried,*,*,*,71
*,*,Some-college,Nontechnical,*,Unmarried,*,*,*,44
*,*,Some-college,Technical,*,Unmarried,*,*,*,48
*,*,Some-college,Nontechnical,*,Married,*,*,*,47
*,*,5th-6th,Technical,*,Unmarried,*,*,*,48
*,*,Some-college,Technical,*,Unmarried,*,*,*,42
*,*,HS-grad,Other,*,Unmarried,*,*,*,39
*,*,HS-grad,Nontechnical,*,Married,*,*,*,49
*,*,Some-college,Technical,*,Married,*,*,*,46
*,*,HS-grad,Other,*,Unmarried,*,*,*,36
*,*,11th,Nontechnical,*,Unmarried,*,*,*,37
*,*,Masters,Technical,*,Married,*,*,*,34
*,*,HS-grad,Other,*,Married,*,*,*,37
*,*,Assoc-voc,*,*,Unmarried,*,*,*,44
*,*,Some-college,Technical,*,Married,*,*,*,73
*,*,HS-grad,Nontechnical,*,Married,*,*,*,45
*,*,HS-grad,Other,*,Unmarried,*,*,*,45
*,*,Some-college,Technical,*,Unmarried,*,*,*,43
*,*,Bachelors,Other,*,Unmarried,*,*,*,36
*,*,Assoc-voc,Other,*,Unmarried,*,*,*,36
*,*,10th,Other,*,Married,*,*,*,48
*,*,HS-grad,Other,*,Married,*,*,*,35
*,*,5th-6th,Other,*,Unmarried,*,*,*,31
*,*,HS-grad,Technical,*,Unmarried,*,*,*,41
*,*,Masters,Technical,*,Unmarried,*,*,*,45
*,*,HS-grad,Nontechnical,*,Unmarried,*,*,*,34
*,*,HS-grad,Other,*,Married,*,*,*,31
*,*,Assoc-acdm,Nontechnical,*,Unmarried,*,*,*,36
*,*,Assoc-voc,Technical,*,Married,*,*,*,51
*,*,HS-grad,Other,*,Married,*,*,*,56
*,*,HS-grad,Other,*,Unmarried,*,*,*,45
*,*,Some-college,Other,*,Unmarried,*,*,*,47
*,*,Bachelors,Nontechnical,*,Unmarried,*,*,*,45
*,*,11th,*,*,Married,*,*,*,29
*,*,Assoc-voc,*,*,Unmarried,*,*,*,28
*,*,Assoc-acdm,Other,*,Unmarried,*,*,*,25
*,*,Bachelors,Technical,*,Unmarried,*,*,*,46
*,*,Bachelors,Nontechnical,*,Married,*,*,*,102
*,*,HS-grad,Other,*,Married,*,*,*,37
*,*,Bachelors,Nontechnical,*,Married,*,*,*,61
*,*,11th,Other,*,Married,*,*,*,47
*,*,Bachelors,*,*,Married,*,*,*,56
*,*,HS-grad,Other,*,Married,*,*,*,94
*,*,11th,Other,*,Unmarried,*,*,*,32
*,*,Assoc-voc,Technical,*,Married,*,*,*,50
*,*,HS-grad,Other,*,Married,*,*,*,38
*,*,9th,Technical,*,Married,*,*,*,42
*,*,10th,Other,*,Married,*,*,*,45
*,*,Masters,Technical,*,Married,*,*,*,98
*,*,Bachelors,Other,*,Married,*,*,*,43
*,*,Bachelors,Nontechnical,*,Unmarried,*,*,*,98
*,*,HS-grad,Nontechnical,*,Unmarried,*,*,*,33
*,*,HS-grad,Technical,*,Married,*,*,*,38
*,*,Some-college,Nontechnical,*,Married,*,*,*,46
*,*,Assoc-acdm,Nontechnical,*,Unmarried,*,*,*,34
*,*,Bachelors,Nontechnical,*,Unmarried,*,*,*,98
*,*,HS-grad,Nontechnical,*,Unmarried,*,*,*,44
*,*,Some-college,Other,*,Unmarried,*,*,*,41
*,*,11th,Other,*,Unmarried,*,*,*,37
*,*,Assoc-voc,Technical,*,Married,*,*,*,50
*,*,HS-grad,Technical,*,Married,*,*,*,40
*,*,HS-grad,Technical,*,Unmarried,*,*,*,37
*,*,Some-college,Other,*,Unmarried,*,*,*,47
*,*,HS-grad,Technical,*,Married,*,*,*,40
*,*,Some-college,Nontechnical,*,Unmarried,*,*,*,41
*,*,Masters,Nontechnical,*,Unmarried,*,*,*,47
*,*,HS-grad,Nontechnical,*,Married,*,*,*,40
*,*,HS-grad,Other,*,Unmarried,*,*,*,39
*,*,5th-6th,Technical,*,Unmarried,*,*,*,44
*,*,Some-college,Technical,*,Married,*,*,*,42
*,*,Some-college,Nontechnical,*,Unmarried,*,*,*,34
*,*,Some-college,Other,*,Married,*,*,*,36
*,*,HS-grad,Other,*,Unmarried,*,*,*,33
*,*,HS-grad,Technical,*,Unmarried,*,*,*,36
*,*,Some-college,Other,*,Married,*,*,*,56
*,*,Some-college,Other,*,Unmarried,*,*,*,38
*,*,HS-grad,Other,*,Unmarried,*,*,*,32
*,*,HS-grad,Other,*,Married,*,*,*,63
*,*,Bachelors,Technical,*,Unmarried,*,*,*,38
*,*,Assoc-acdm,Technical,*,Unmarried,*,*,*,38
*,*,Bachelors,Nontechnical,*,Married,*,*,*,92
*,*,HS-grad,Other,*,Unmarried,*,*,*,43
*,*,Some-college,Technical,*,Married,*,*,*,34
*,*,Some-college,Nontechnical,*,Unmarried,*,*,*,41
*,*,HS-grad,*,*,Unmarried,*,*,*,47
*,*,Bachelors,Nontechnical,*,Married,*,*,*,67
*,*,Bachelors,Nontechnical,*,Married,*,*,*,81
*,*,Some-college,Nontechnical,*,Unmarried,*,*,*,48
*,*,Some-college,Other,*,Unmarried,*,*,*,46
*,*,Bachelors,Other,*,Married,*,*,*,53
*,*,Assoc-voc,Technical,*,Unmarried,*,*,*,34
*,*,7th-8th,Nontechnical,*,Married,*,*,*,38
*,*,Masters,Nontechnical,*,Married,*,*,*,78
*,*,HS-grad,Other,*,Married,*,*,*,40
*,*,HS-grad,Technical,*,Married,*,*,*,35
*,*,Some-college,*,*,Married,*,*,*,72
*,*,Some-college,Nontechnical,*,Married,*,*,*,32
*,*,Some-college,Other,*,Unmarried,*,*,*,33
*,*,HS-grad,Nontechnical,*,Unmarried,*,*,*,47
*,*,Some-college,Nontechnical,*,Unmarried,*,*,*,30
*,*,Doctorate,Nontechnical,*,Married,*,*,*,75
*,*,Some-college,Technical,*,Married,*,*,*,49
*,*,12th,Technical,*,Unmarried,*,*,*,51
*,*,1st-4th,Technical,*,Married,*,*,*,47
*,*,11th,Other,*,Unmarried,*,*,*,46
*,*,11th,Technical,*,Unmarried,*,*,*,49
*,*,HS-grad,Other,*,Unmarried,*,*,*,45
*,*,Some-college,Nontechnical,*,Married,*,*,*,45
*,*,11th,Nontechnical,*,Unmarried,*,*,*,49
*,*,Bachelors,Nontechnical,*,Married,*,*,*,98
*,*,HS-grad,Other,*,Unmarried,*,*,*,47
*,*,10th,Technical,*,Unmarried,*,*,*,43
*,*,HS-grad,Other,*,Married,*,*,*,34
*,*,Masters,Technical,*,Unmarried,*,*,*,47
*,*,HS-grad,Nontechnical,*,Unmarried,*,*,*,49
*,*,HS-grad,Nontechnical,*,Married,*,*,*,105
*,*,Masters,Technical,*,Married,*,*,*,46
*,*,HS-grad,*,*,Unmarried,*,*,*,29
*,*,11th,*,*,Unmarried,*,*,*,48
*,*,Bachelors,Technical,*,Unmarried,*,*,*,48
*,*,Assoc-acdm,Other,*,Married,*,*,*,50
*,*,Some-college,Technical,*,Unmarried,*,*,*,34
*,*,Masters,Technical,*,Married,*,*,*,76
*,*,HS-grad,Other,*,Unmarried,*,*,*,45
*,*,Some-college,Other,*,Unmarried,*,*,*,40
*,*,Some-college,Other,*,Married,*,*,*,44
*,*,Some-college,Other,*,Married,*,*,*,37
*,*,Bachelors,Technical,*,Unmarried,*,*,*,45
*,*,HS-grad,Other,*,Unmarried,*,*,*,35
*,*,HS-grad,Other,*,Unmarried,*,*,*,37
*,*,Some-college,Technical,*,Married,*,*,*,95
*,*,9th,Technical,*,Unmarried,*,*,*,46
*,*,Some-college,Nontechnical,*,Unmarried,*,*,*,40
*,*,HS-grad,Nontechnical,*,Unmarried,*,*,*,35
*,*,HS-grad,Technical,*,Married,*,*,*,37
*,*,HS-grad,Technical,*,Married,*,*,*,34
*,*,11th,*,*,Unmarried,*,*,*,47
*,*,HS-grad,Technical,*,Unmarried,*,*,*,39
*,*,Some-college,Technical,*,Married,*,*,*,50
*,*,HS-grad,Technical,*,Married,*,*,*,52
*,*,Assoc-acdm,Nontechnical,*,Married,*,*,*,73
*,*,HS-grad,Nontechnical,*,Married,*,*,*,50
*,*,Assoc-voc,Technical,*,Married,*,*,*,50
*,*,HS-grad,Nontechnical,*,Married,*,*,*,46
*,*,Some-college,Other,*,Married,*,*,*,43
*,*,HS-grad,Other,*,Married,*,*,*,43
*,*,Some-college,*,*,Married,*,*,*,42
*,*,Assoc-acdm,Other,*,Unmarried,*,*,*,44
*,*,HS-grad,Other,*,Married,*,*,*,35
*,*,Bachelors,Technical,*,Married,*,*,*,47
*,*,1st-4th,Technical,*,Unmarried,*,*,*,40
*,*,Bachelors,Technical,*,Unmarried,*,*,*,46
*,*,HS-grad,Other,*,Married,*,*,*,37
*,*,HS-grad,Other,*,Unmarried,*,*,*,42
*,*,Some-college,Other,*,Married,*,*,*,47
*,*,Masters,Nontechnical,*,Married,*,*,*,55
*,*,Bachelors,Technical,*,Married,*,*,*,50
*,*,Some-college,Technical,*,Unmarried,*,*,*,75
*,*,Some-college,*,*,Unmarried,*,*,*,42
*,*,HS-grad,Technical,*,Unmarried,*,*,*,45
*,*,HS-grad,Other,*,Unmarried,*,*,*,48
*,*,Assoc-voc,Other,*,Unmarried,*,*,*,41
*,*,Bachelors,Technical,*,Unmarried,*,*,*,42
*,*,9th,Other,*,Unmarried,*,*,*,25
*,*,Some-college,Nontechnical,*,Unmarried,*,*,*,38
*,*,10th,Other,*,Unmarried,*,*,*,33
*,*,HS-grad,Other,*,Unmarried,*,*,*,25
*,*,Assoc-acdm,Technical,*,Married,*,*,*,46
*,*,Some-college,Technical,*,Married,*,*,*,45
*,*,Bachelors,Technical,*,Unmarried,*,*,*,45
*,*,HS-grad,Technical,*,Unmarried,*,*,*,39
*,*,12th,*,*,Unmarried,*,*,*,32
