Age,Workclass,Education,Maritalstatus,Occupation,Race,Sex,Nativecountry,Income
56,Local-gov,Bachelors,Married-civ-spouse,Tech-support,White,Male,United-States,46
19,Private,HS-grad,Never-married,Craft-repair,White,Male,United-States,64
39,Private,HS-grad,Divorced,Exec-managerial,White,Male,United-States,51
49,Private,HS-grad,Married-civ-spouse,Craft-repair,White,Male,United-States,28
23,Local-gov,Assoc-acdm,Never-married,Protective-serv,White,Male,United-States,36
20,Private,Some-college,Never-married,Sales,Black,Male,United-States,44
45,Private,Bachelors,Divorced,Exec-managerial,White,Male,United-States,50
30,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,White,Male,United-States,47
22,State-gov,Some-college,Married-civ-spouse,Other-service,Black,Male,United-States,44
48,Private,11th,Never-married,Machine-op-inspct,White,Male,Puerto-Rico,64
21,Private,Some-college,Never-married,Machine-op-inspct,White,Male,United-States,63
19,Private,HS-grad,Married-AF-spouse,Adm-clerical,White,Female,United-States,73
48,Self-emp-not-inc,Assoc-acdm,Married-civ-spouse,Prof-specialty,White,Male,United-States,44
31,Private,9th,Married-civ-spouse,Machine-op-inspct,White,Male,United-States,64
53,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,United-States,68
24,Private,Bachelors,Married-civ-spouse,Tech-support,White,Male,United-States,72
49,Private,HS-grad,Separated,Adm-clerical,White,Female,United-States,26
25,Private,HS-grad,Never-married,Handlers-cleaners,White,Male,United-States,33
57,Federal-gov,Bachelors,Married-civ-spouse,Prof-specialty,Black,Male,United-States,63
53,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Male,United-States,53
44,Private,Masters,Divorced,Exec-managerial,White,Female,United-States,67
41,State-gov,Assoc-voc,Married-civ-spouse,Craft-repair,White,Male,United-States,44
29,Private,Assoc-voc,Never-married,Prof-specialty,White,Male,United-States,73
25,Private,Some-college,Married-civ-spouse,Exec-managerial,Other,Female,United-States,59
47,Private,Prof-school,Married-civ-spouse,Prof-specialty,White,Female,Honduras,53
50,Federal-gov,Bachelors,Divorced,Exec-managerial,White,Male,United-States,60
47,Self-emp-inc,HS-grad,Divorced,Exec-managerial,White,Male,United-States,29
43,Private,Some-college,Married-civ-spouse,Tech-support,White,Male,United-States,51
46,Private,5th-6th,Married-civ-spouse,Machine-op-inspct,White,Male,Mexico,75
35,Private,Assoc-voc,Married-civ-spouse,Other-service,White,Male,Puerto-Rico,34
41,Private,HS-grad,Married-civ-spouse,Adm-clerical,White,Male,United-States,55
30,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,White,Male,United-States,62
30,Private,Bachelors,Married-civ-spouse,Sales,White,Male,United-States,40
48,Private,HS-grad,Married-civ-spouse,Transport-moving,White,Male,United-States,41
42,Private,Doctorate,Married-civ-spouse,Prof-specialty,White,Male,United-States,50
29,Private,Some-college,Divorced,Tech-support,White,Male,United-States,54
36,Private,HS-grad,Married-civ-spouse,Craft-repair,White,Male,United-States,49
28,Private,Some-college,Divorced,Adm-clerical,White,Female,United-States,71
53,Private,HS-grad,Married-civ-spouse,Adm-clerical,White,Female,United-States,62
49,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,White,Male,United-States,66
19,Private,Some-college,Never-married,Prof-specialty,White,Male,United-States,30
31,Private,Bachelors,Separated,Sales,Black,Female,United-States,61
29,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,White,Male,United-States,69
23,Private,Some-college,Never-married,Machine-op-inspct,White,Male,United-States,50
79,Private,Some-college,Married-civ-spouse,Prof-specialty,White,Male,United-States,66
27,Private,HS-grad,Never-married,Other-service,White,Male,Mexico,31
40,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,White,Male,United-States,76
18,Private,11th,Never-married,Other-service,White,Female,United-States,37
31,Local-gov,7th-8th,Married-civ-spouse,Farming-fishing,White,Male,United-States,43
18,Private,HS-grad,Never-married,Sales,White,Male,United-States,26
52,Private,Bachelors,Married-civ-spouse,Other-service,White,Male,Cuba,27
46,Private,HS-grad,Married-civ-spouse,Other-service,White,Female,United-States,45
59,Private,HS-grad,Married-civ-spouse,Sales,White,Male,United-States,49
44,Private,HS-grad,Divorced,Craft-repair,White,Female,United-States,57
53,Private,HS-grad,Divorced,Sales,White,Female,United-States,64
49,Local-gov,HS-grad,Married-civ-spouse,Protective-serv,White,Male,United-States,26
33,Private,Masters,Married-civ-spouse,Prof-specialty,White,Male,United-States,60
30,Private,9th,Never-married,Sales,White,Male,United-States,69
43,Federal-gov,Doctorate,Never-married,Prof-specialty,White,Female,United-States,46
57,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,White,Male,United-States,31
37,Private,Some-college,Divorced,Craft-repair,White,Female,United-States,70
28,Private,Some-college,Divorced,Machine-op-inspct,Black,Female,United-States,64
34,Local-gov,Bachelors,Married-civ-spouse,Protective-serv,White,Male,United-States,27
29,Local-gov,Some-college,Never-married,Handlers-cleaners,White,Male,United-States,48
48,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,White,Male,United-States,47
37,Private,Some-college,Married-civ-spouse,Sales,White,Male,United-States,37
48,Private,Assoc-acdm,Divorced,Exec-managerial,White,Female,England,55
32,Federal-gov,HS-grad,Never-married,Other-service,Black,Male,United-States,30
76,Private,Masters,Married-civ-spouse,Exec-managerial,White,Male,United-States,31
44,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,United-States,26
47,Self-emp-not-inc,Masters,Never-married,Prof-specialty,White,Female,United-States,53
20,Private,Some-college,Never-married,Tech-support,White,Female,United-States,62
29,Private,HS-grad,Never-married,Craft-repair,White,Male,United-States,77
32,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,White,Male,United-States,65
30,Private,11th,Never-married,Handlers-cleaners,White,Male,United-States,30
31,Local-gov,HS-grad,Never-married,Adm-clerical,White,Female,United-States,28
42,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,White,Male,United-States,34
24,Private,Bachelors,Never-married,Sales,White,Male,United-States,66
38,Private,Prof-school,Married-civ-spouse,Prof-specialty,White,Male,United-States,38
56,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,White,Male,Canada,76
28,Private,Some-college,Married-civ-spouse,Sales,White,Female,United-States,32
36,Private,HS-grad,Never-married,Machine-op-inspct,White,Female,United-States,61
53,Private,9th,Married-civ-spouse,Handlers-cleaners,White,Male,United-States,39
56,Self-emp-inc,Some-college,Married-civ-spouse,Sales,White,Male,United-States,57
49,Local-gov,Assoc-voc,Married-civ-spouse,Craft-repair,Black,Male,United-States,74
55,Private,Some-college,Married-civ-spouse,Sales,White,Male,United-States,77
22,Private,HS-grad,Never-married,Craft-repair,White,Male,United-States,38
21,Private,Some-college,Never-married,Other-service,White,Female,United-States,45
40,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,United-States,63
30,Private,Bachelors,Never-married,Exec-managerial,Black,Male,Germany,48
29,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,United-States,63
19,Private,Some-college,Never-married,Other-service,Black,Male,United-States,48
47,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,Female,United-States,62
20,Private,Some-college,Never-married,Adm-clerical,White,Female,United-States,58
31,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,White,Male,United-States,74
39,Private,Some-college,Divorced,Craft-repair,White,Male,United-States,36
28,Private,Assoc-acdm,Never-married,Sales,White,Female,United-States,62
24,Private,HS-grad,Never-married,Other-service,White,Female,United-States,43
38,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,White,Male,United-States,42
37,Private,Bachelors,Married-civ-spouse,Sales,White,Male,United-States,32
46,Private,Assoc-acdm,Divorced,Tech-support,Black,Female,United-States,65
38,Federal-gov,Masters,Married-civ-spouse,Prof-specialty,White,Male,Iran,40
43,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,White,Male,United-States,72
27,Private,Assoc-voc,Married-civ-spouse,Adm-clerical,White,Female,United-States,73
20,Private,Some-college,Never-married,Sales,White,Male,United-States,72
49,Private,Some-college,Married-civ-spouse,Craft-repair,Asian-Pac-Islander,Male,United-States,58
61,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,White,Male,United-States,73
27,Private,Some-college,Never-married,Sales,White,Female,United-States,62
19,Private,Some-college,Never-married,Other-service,White,Male,Mexico,77
45,Private,Assoc-voc,Never-married,Prof-specialty,White,Female,United-States,46
70,Private,Some-college,Never-married,Tech-support,White,Male,United-States,68
31,Private,HS-grad,Never-married,Transport-moving,Black,Female,United-States,40
22,Private,Some-college,Married-civ-spouse,Other-service,White,Male,United-States,55
36,Private,HS-grad,Widowed,Other-service,White,Female,United-States,70
64,Private,11th,Married-civ-spouse,Craft-repair,White,Male,United-States,60
47,Local-gov,Some-college,Divorced,Adm-clerical,White,Female,Mexico,63
34,Private,HS-grad,Never-married,Adm-clerical,White,Female,United-States,76
33,Private,Bachelors,Never-married,Exec-managerial,Asian-Pac-Islander,Female,Philippines,70
21,Private,HS-grad,Never-married,Craft-repair,White,Male,United-States,42
48,Private,HS-grad,Married-civ-spouse,Craft-repair,White,Male,United-States,26
23,Private,Bachelors,Never-married,Handlers-cleaners,White,Male,United-States,69
71,Self-emp-not-inc,Some-college,Separated,Sales,Black,Male,United-States,63
29,Private,HS-grad,Divorced,Craft-repair,White,Male,United-States,30
42,Private,Bachelors,Separated,Other-service,Black,Male,United-States,38
25,Private,HS-grad,Never-married,Other-service,White,Female,United-States,64
44,Self-emp-inc,Masters,Divorced,Exec-managerial,Asian-Pac-Islander,Female,United-States,31
28,Private,HS-grad,Never-married,Exec-managerial,Asian-Pac-Islander,Female,England,65
45,Self-emp-not-inc,Masters,Married-civ-spouse,Sales,White,Male,United-States,32
36,Private,Some-college,Divorced,Other-service,White,Female,Mexico,62
39,Federal-gov,Assoc-acdm,Never-married,Exec-managerial,White,Male,United-States,71
46,State-gov,Masters,Widowed,Protective-serv,White,Male,United-States,49
18,Private,11th,Never-married,Handlers-cleaners,White,Male,United-States,52
66,Local-gov,Assoc-voc,Widowed,Prof-specialty,White,Female,United-States,67
27,Private,HS-grad,Never-married,Other-service,White,Male,United-States,34
28,State-gov,HS-grad,Married-civ-spouse,Protective-serv,White,Male,United-States,43
51,Private,Some-college,Married-civ-spouse,Sales,White,Male,United-States,56
27,Private,Bachelors,Never-married,Craft-repair,White,Male,United-States,30
28,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,United-States,29
27,Private,HS-grad,Married-spouse-absent,Sales,White,Female,United-States,31
21,Private,HS-grad,Never-married,Craft-repair,Black,Male,United-States,38
34,Private,HS-grad,Never-married,Handlers-cleaners,Black,Male,United-States,65
18,Private,HS-grad,Never-married,Other-service,White,Male,United-States,63
33,Private,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,United-States,32
44,Local-gov,Some-college,Married-civ-spouse,Exec-managerial,Black,Male,United-States,27
43,Private,Some-college,Divorced,Adm-clerical,White,Female,United-States,52
30,Private,Some-college,Never-married,Craft-repair,Black,Male,United-States,45
40,Private,7th-8th,Married-civ-spouse,Machine-op-inspct,White,Male,Mexico,32
37,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,White,Male,United-States,37
34,Private,HS-grad,Married-civ-spouse,Adm-clerical,Black,Male,United-States,41
41,Self-emp-not-inc,Bachelors,Divorced,Exec-managerial,White,Female,United-States,44
31,Private,Masters,Married-civ-spouse,Prof-specialty,White,Female,United-States,46
58,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,White,Male,United-States,62
38,Private,Some-college,Divorced,Machine-op-inspct,Black,Female,United-States,34
24,Private,Some-college,Married-civ-spouse,Machine-op-inspct,White,Male,United-States,29
41,Local-gov,Bachelors,Married-civ-spouse,Craft-repair,Black,Male,United-States,33
47,Private,Some-college,Married-civ-spouse,Tech-support,White,Male,United-States,60
41,Federal-gov,Bachelors,Married-civ-spouse,Tech-support,White,Male,United-States,47
23,Private,5th-6th,Married-civ-spouse,Transport-moving,White,Male,Mexico,69
36,Private,Some-college,Divorced,Craft-repair,White,Male,United-States,67
40,Federal-gov,Masters,Never-married,Exec-managerial,White,Female,United-States,35
35,Private,Masters,Married-civ-spouse,Prof-specialty,White,Male,United-States,70
24,Self-emp-not-inc,HS-grad,Never-married,Sales,White,Male,United-States,33
26,Private,Masters,Never-married,Prof-specialty,White,Female,United-States,74
51,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,United-States,60
42,Local-gov,Some-college,Never-married,Prof-specialty,White,Female,United-States,68
37,State-gov,HS-grad,Divorced,Adm-clerical,White,Female,United-States,58
18,Private,11th,Never-married,Sales,White,Female,United-States,28
36,Private,Bachelors,Married-civ-spouse,Other-service,Black,Male,United-States,72
35,Private,HS-grad,Divorced,Craft-repair,White,Male,United-States,27
58,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,White,Female,United-States,44
17,Private,11th,Never-married,Sales,White,Female,United-States,58
44,Local-gov,HS-grad,Married-civ-spouse,Transport-moving,Black,Male,United-States,59
37,Private,HS-grad,Married-civ-spouse,Craft-repair,White,Male,United-States,31
35,Private,Some-college,Never-married,Sales,Amer-Indian-Eskimo,Female,United-States,28
60,Private,HS-grad,Married-civ-spouse,Craft-repair,Asian-Pac-Islander,Male,United-States,26
54,Self-emp-inc,7th-8th,Married-civ-spouse,Machine-op-inspct,White,Male,United-States,61
37,Private,Bachelors,Never-married,Exec-managerial,Black,Male,United-States,50
50,Private,Assoc-acdm,Divorced,Sales,White,Female,United-States,26
38,Private,Bachelors,Married-civ-spouse,Sales,White,Male,Poland,30
45,Private,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,United-States,42
25,Private,10th,Never-married,Craft-repair,White,Male,United-States,40
31,Private,Some-college,Married-civ-spouse,Handlers-cleaners,White,Male,United-States,69
90,Private,HS-grad,Never-married,Other-service,Black,Male,United-States,57
54,Private,HS-grad,Married-civ-spouse,Adm-clerical,Black,Male,United-States,30
53,Local-gov,Preschool,Never-married,Machine-op-inspct,White,Female,United-States,41
18,Private,HS-grad,Never-married,Sales,White,Female,United-States,64
66,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,White,Male,United-States,36
75,Private,Assoc-voc,Widowed,Adm-clerical,White,Female,Columbia,50
65,Private,HS-grad,Divorced,Adm-clerical,White,Female,United-States,32
35,Private,11th,Separated,Transport-moving,Black,Male,United-States,75
41,Private,HS-grad,Divorced,Sales,Black,Female,United-States,49
25,Private,Some-college,Never-married,Adm-clerical,White,Male,United-States,42
33,Private,Some-college,Divorced,Craft-repair,Other,Female,United-States,67
28,Private,Prof-school,Never-married,Prof-specialty,White,Male,United-States,61
59,State-gov,HS-grad,Married-civ-spouse,Other-service,White,Male,United-States,67
40,State-gov,Some-college,Never-married,Adm-clerical,White,Female,United-States,50
41,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,Iran,28
38,Local-gov,Masters,Married-civ-spouse,Exec-managerial,White,Male,United-States,47
23,Private,HS-grad,Never-married,Transport-moving,White,Male,United-States,73
40,Private,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,United-States,67
41,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,White,Female,United-States,31
24,State-gov,Assoc-acdm,Married-civ-spouse,Protective-serv,White,Male,United-States,29
38,Private,Some-college,Divorced,Craft-repair,White,Male,United-States,39
58,Private,HS-grad,Married-civ-spouse,Adm-clerical,White,Male,United-States,56
32,Private,HS-grad,Never-married,Other-service,White,Female,United-States,32
40,Private,Assoc-acdm,Married-civ-spouse,Tech-support,White,Male,United-States,69
41,Private,Prof-school,Married-civ-spouse,Prof-specialty,White,Female,United-States,42
42,Private,Bachelors,Married-civ-spouse,Adm-clerical,Black,Female,United-States,30
59,Local-gov,10th,Widowed,Other-service,Black,Female,United-States,32
19,Local-gov,Some-college,Never-married,Adm-clerical,White,Male,United-States,45
58,Private,Some-college,Never-married,Transport-moving,White,Male,United-States,31
42,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Asian-Pac-Islander,Male,Cambodia,30
20,Private,HS-grad,Never-married,Other-service,White,Female,United-States,44
32,Private,HS-grad,Separated,Other-service,White,Female,United-States,53
45,Private,Assoc-voc,Widowed,Exec-managerial,White,Female,United-States,37
50,Private,7th-8th,Divorced,Craft-repair,White,Male,United-States,60
36,Private,Bachelors,Divorced,Prof-specialty,White,Female,United-States,50
45,Private,HS-grad,Married-civ-spouse,Sales,White,Male,United-States,58
17,Private,11th,Never-married,Other-service,White,Male,United-States,64
59,Private,Some-college,Married-civ-spouse,Sales,White,Male,United-States,41
26,Private,11th,Married-civ-spouse,Craft-repair,White,Male,United-States,33
37,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Male,Thailand,66
64,Private,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,United-States,48
33,Private,Bachelors,Never-married,Prof-specialty,White,Female,United-States,35
33,Private,HS-grad,Married-civ-spouse,Craft-repair,White,Female,United-States,75
61,Private,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,United-States,41
17,Private,9th,Never-married,Other-service,White,Male,United-States,37
50,Self-emp-not-inc,Masters,Married-civ-spouse,Farming-fishing,White,Male,United-States,68
27,Local-gov,Masters,Never-married,Prof-specialty,White,Male,United-States,40
30,Private,HS-grad,Divorced,Prof-specialty,White,Female,United-States,72
43,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Black,Male,United-States,40
44,Private,Some-college,Married-civ-spouse,Craft-repair,White,Male,United-States,27
35,Private,Some-college,Never-married,Exec-managerial,White,Female,United-States,72
25,Private,Some-college,Never-married,Tech-support,White,Female,United-States,57
24,Private,Some-college,Married-civ-spouse,Machine-op-inspct,White,Female,United-States,30
22,Private,Bachelors,Never-married,Prof-specialty,White,Female,Germany,68
42,Local-gov,Some-college,Married-civ-spouse,Craft-repair,White,Male,United-States,72
34,Private,Assoc-acdm,Divorced,Sales,Black,Female,United-States,73
60,Private,Bachelors,Divorced,Prof-specialty,White,Female,United-States,64
21,Private,HS-grad,Never-married,Handlers-cleaners,White,Male,United-States,66
57,Federal-gov,Masters,Married-civ-spouse,Sales,White,Male,United-States,52
41,Private,Prof-school,Married-civ-spouse,Prof-specialty,White,Male,United-States,30
50,Private,Some-college,Divorced,Other-service,White,Male,United-States,68
25,Private,Bachelors,Never-married,Exec-managerial,White,Female,United-States,74
50,Private,7th-8th,Married-civ-spouse,Craft-repair,White,Male,Ecuador,28
36,Private,Bachelors,Married-civ-spouse,Prof-specialty,White,Male,United-States,64
31,Private,HS-grad,Divorced,Prof-specialty,White,Female,United-States,59
29,Local-gov,Bachelors,Never-married,Protective-serv,White,Male,United-States,50
21,Private,Some-college,Never-married,Sales,White,Male,United-States,47
27,Private,Bachelors,Never-married,Tech-support,Black,Female,United-States,68
65,Private,HS-grad,Married-civ-spouse,Transport-moving,White,Male,United-States,63
37,Self-emp-inc,Bachelors,Divorced,Sales,White,Female,United-States,27
24,Private,HS-grad,Never-married,Craft-repair,White,Male,United-States,35
38,Private,HS-grad,Divorced,Sales,White,Male,United-States,36
48,Private,Bachelors,Married-civ-spouse,Adm-clerical,White,Male,United-States,58
21,Private,Some-college,Never-married,Other-service,Asian-Pac-Islander,Female,United-States,32
31,Private,HS-grad,Married-civ-spouse,Transport-moving,White,Male,United-States,65
55,Private,HS-grad,Married-civ-spouse,Sales,White,Male,United-States,44
24,Private,Some-college,Married-civ-spouse,Adm-clerical,Asian-Pac-Islander,Female,Laos,74
43,Private,HS-grad,Divorced,Adm-clerical,White,Female,United-States,28
26,Private,Assoc-acdm,Never-married,Tech-support,White,Male,United-States,77
46,Private,Assoc-acdm,Never-married,Prof-specialty,White,Female,United-States,37
35,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,White,Male,United-States,40
41,Self-emp-inc,Some-college,Married-civ-spouse,Farming-fishing,White,Male,United-States,27
26,Private,Bachelors,Never-married,Sales,White,Male,United-States,67
34,Private,Masters,Married-civ-spouse,Exec-managerial,Asian-Pac-Islander,Male,Taiwan,56
36,Self-emp-not-inc,Bachelors,Divorced,Prof-specialty,Black,Female,United-States,68
22,Private,Some-college,Never-married,Sales,White,Male,United-States,68
24,Private,Some-college,Never-married,Machine-op-inspct,White,Male,United-States,75
77,Self-emp-not-inc,Some-college,Married-civ-spouse,Sales,White,Male,United-States,31
22,Private,5th-6th,Married-civ-spouse,Machine-op-inspct,White,Female,Mexico,45
29,Private,Some-college,Never-married,Tech-support,White,Female,United-States,76
62,Private,HS-grad,Widowed,Other-service,White,Female,United-States,30
39,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,White,Male,United-States,67
43,Private,Some-college,Married-civ-spouse,Craft-repair,White,Male,United-States,39
35,Private,HS-grad,Divorced,Transport-moving,White,Male,United-States,73
29,Private,11th,Never-married,Exec-managerial,White,Female,United-States,31
76,Self-emp-not-inc,Masters,Married-civ-spouse,Craft-repair,White,Male,United-States,60
63,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,White,Male,United-States,74
43,Private,Some-college,Married-civ-spouse,Prof-specialty,White,Female,United-States,38
58,Self-emp-not-inc,HS-grad,Married-civ-spouse,Handlers-cleaners,White,Male,United-States,58
66,Private,HS-grad,Never-married,Transport-moving,White,Male,United-States,47
41,Private,Some-college,Never-married,Craft-repair,Black,Male,United-States,39
26,Private,Bachelors,Never-married,Adm-clerical,White,Male,United-States,67
47,Private,Assoc-voc,Never-married,Other-service,White,Male,United-States,57
55,Local-gov,10th,Married-civ-spouse,Adm-clerical,White,Male,United-States,67
53,Private,HS-grad,Married-civ-spouse,Transport-moving,White,Male,United-States,41
17,Private,5th-6th,Never-married,Other-service,White,Male,Mexico,65
30,Private,HS-grad,Never-married,Craft-repair,White,Male,United-States,43
49,Private,Masters,Never-married,Prof-specialty,White,Male,United-States,56
19,Private,HS-grad,Never-married,Sales,Black,Male,Haiti,53
45,Private,HS-grad,Married-civ-spouse,Other-service,Black,Male,United-States,65
26,Private,Assoc-acdm,Never-married,Sales,White,Male,United-States,29
38,Private,Assoc-voc,Married-civ-spouse,Craft-repair,White,Male,United-States,36
36,State-gov,HS-grad,Married-civ-spouse,Protective-serv,White,Male,United-States,69
33,Private,HS-grad,Never-married,Farming-fishing,White,Male,United-States,26
22,State-gov,Some-college,Never-married,Protective-serv,Black,Female,United-States,41
43,Self-emp-not-inc,Bachelors,Never-married,Sales,White,Male,United-States,34
56,Private,Assoc-acdm,Married-spouse-absent,Other-service,White,Male,Iran,54
31,Private,Bachelors,Never-married,Prof-specialty,White,Male,United-States,60
33,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,United-States,51
26,Private,HS-grad,Married-civ-spouse,Other-service,White,Male,United-States,56
33,Private,Bachelors,Married-civ-spouse,Exec-managerial,White,Male,United-States,60
46,Local-gov,11th,Married-civ-spouse,Transport-moving,White,Male,United-States,74
38,Federal-gov,HS-grad,Married-civ-spouse,Adm-clerical,White,Male,United-States,73
65,Private,11th,Widowed,Other-service,Other,Male,United-States,49
40,Private,Assoc-voc,Married-civ-spouse,Tech-support,White,Male,United-States,66
42,Private,HS-grad,Married-civ-spouse,Adm-clerical,White,Female,United-States,57
26,Self-emp-not-inc,9th,Married-civ-spouse,Craft-repair,White,Male,Portugal,49
36,Private,10th,Married-civ-spouse,Other-service,White,Female,United-States,66
62,Private,Masters,Married-civ-spouse,Prof-specialty,White,Male,United-States,64
43,Private,Bachelors,Married-civ-spouse,Transport-moving,White,Male,United-States,48
43,Private,Bachelors,Divorced,Exec-managerial,White,Male,United-States,26
22,Private,HS-grad,Married-spouse-absent,Sales,White,Male,United-States,65
28,Private,HS-grad,Married-civ-spouse,Craft-repair,White,Male,United-States,30
56,Self-emp-not-inc,Some-college,Married-civ-spouse,Sales,White,Male,United-States,68
22,Private,Assoc-acdm,Never-married,Sales,White,Female,United-States,62
57,Private,Bachelors,Divorced,Exec-managerial,White,Female,United-States,65
39,Private,HS-grad,Divorced,Sales,White,Female,United-States,70
26,Federal-gov,Some-college,Never-married,Adm-clerical,White,Female,United-States,41
17,Private,11th,Never-married,Other-service,White,Male,United-States,46
40,State-gov,Assoc-voc,Married-civ-spouse,Machine-op-inspct,White,Male,United-States,64
45,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Black,Male,United-States,41
44,Private,HS-grad,Never-married,Craft-repair,Black,Male,United-States,54
20,Local-gov,Some-college,Never-married,Adm-clerical,White,Female,United-States,29
33,Private,HS-grad,Married-civ-spouse,Craft-repair,White,Female,United-States,65
23,Private,Some-college,Never-married,Sales,White,Male,United-States,43
46,Self-emp-not-inc,Masters,Divorced,Exec-managerial,White,Male,United-States,67
38,Private,HS-grad,Married-civ-spouse,Sales,White,Male,United-States,61
54,Private,HS-grad,Divorced,Transport-moving,White,Male,United-States,67
46,Private,5th-6th,Divorced,Craft-repair,White,Female,United-States,69
25,Private,Some-college,Married-civ-spouse,Craft-repair,White,Male,United-States,64
46,Private,Some-college,Divorced,Sales,White,Female,United-States,56
36,Local-gov,Some-college,Married-civ-spouse,Transport-moving,White,Female,United-States,41
23,Private,HS-grad,Never-married,Other-service,White,Female,United-States,65
29,Private,HS-grad,Separated,Machine-op-inspct,White,Male,United-States,40
44,Private,Some-college,Married-civ-spouse,Adm-clerical,White,Female,United-States,43
19,Private,Some-college,Never-married,Adm-clerical,White,Female,United-States,44
19,Private,HS-grad,Never-married,Other-service,White,Female,United-States,62
35,Private,HS-grad,Married-civ-spouse,Other-service,White,Female,United-States,49
27,Private,Bachelors,Never-married,Craft-repair,White,Male,United-States,64
46,Self-emp-not-inc,Assoc-acdm,Separated,Craft-repair,White,Male,United-States,65
34,Private,HS-grad,Never-married,Other-service,White,Female,United-States,65
